Date,City,PM2.5,PM10,NO2,AQI
2020-01-01,Delhi,54.01,94.82,51.14,81.0
2020-01-02,Delhi,57.26,67.42,52.36,86.0
2020-01-03,Delhi,55.8,55.35,39.13,84.0
2020-01-04,Delhi,51.03,35.44,46.37,77.0
2020-01-05,Delhi,45.8,44.03,54.74,69.0
2020-01-06,Delhi,52.08,68.26,46.67,78.0
2020-01-07,Delhi,47.56,78.51,43.75,71.0
2020-01-08,Delhi,62.57,71.01,42.33,94.0
2020-01-09,Delhi,47.23,58.45,38.94,71.0
2020-01-10,Delhi,46.63,82.09,41.49,70.0
2020-01-11,Delhi,49.1,53.96,47.98,74.0
2020-01-12,Delhi,52.05,74.55,43.74,78.0
2020-01-13,Delhi,47.28,55.75,45.94,71.0
2020-01-14,Delhi,62.91,52.33,47.78,94.0
2020-01-15,Delhi,34.97,72.84,46.82,52.0
2020-01-16,Delhi,46.26,81.78,40.01,69.0
2020-01-17,Delhi,44.22,90.21,41.5,66.0
2020-01-18,Delhi,28.69,64.32,45.62,43.0
2020-01-19,Delhi,45.82,50.67,53.58,69.0
2020-01-20,Delhi,27.77,47.91,47.14,42.0
2020-01-21,Delhi,37.76,74.04,47.93,57.0
2020-01-22,Delhi,24.39,42.58,42.51,37.0
2020-01-23,Delhi,39.81,80.28,45.76,60.0
2020-01-24,Delhi,35.46,55.37,42.45,53.0
2020-01-25,Delhi,51.75,42.29,43.11,78.0
2020-01-26,Delhi,52.06,66.8,52.28,78.0
2020-01-27,Delhi,51.84,75.16,38.68,78.0
2020-01-28,Delhi,38.42,54.19,44.69,58.0
2020-01-29,Delhi,41.69,69.87,42.57,63.0
2020-01-30,Delhi,32.24,29.56,41.87,48.0
2020-01-31,Delhi,41.83,56.23,47.76,63.0
2020-02-01,Delhi,49.23,32.49,53.3,74.0
2020-02-02,Delhi,47.24,74.59,39.55,71.0
2020-02-03,Delhi,50.59,65.36,51.16,76.0
2020-02-04,Delhi,24.06,37.82,38.21,36.0
2020-02-05,Delhi,67.11,52.57,45.06,101.0
2020-02-06,Delhi,43.67,52.33,44.94,66.0
2020-02-07,Delhi,38.3,37.85,39.4,57.0
2020-02-08,Delhi,26.31,39.89,42.56,39.0
2020-02-09,Delhi,49.98,53.45,35.28,75.0
2020-02-10,Delhi,30.1,71.09,29.67,45.0
2020-02-11,Delhi,32.39,63.46,37.54,49.0
2020-02-12,Delhi,43.63,47.43,35.56,65.0
2020-02-13,Delhi,32.71,80.51,39.61,49.0
2020-02-14,Delhi,29.58,41.87,39.47,44.0
2020-02-15,Delhi,30.34,30.6,44.52,46.0
2020-02-16,Delhi,30.13,38.12,46.56,45.0
2020-02-17,Delhi,21.54,56.22,29.94,32.0
2020-02-18,Delhi,12.85,52.89,44.87,19.0
2020-02-19,Delhi,27.43,35.13,36.63,41.0
2020-02-20,Delhi,20.07,52.43,42.34,30.0
2020-02-21,Delhi,24.64,33.79,37.12,37.0
2020-02-22,Delhi,25.16,50.88,45.49,38.0
2020-02-23,Delhi,22.92,18.87,42.93,34.0
2020-02-24,Delhi,19.66,27.81,31.25,29.0
2020-02-25,Delhi,30.02,50.5,43.74,45.0
2020-02-26,Delhi,47.05,24.22,38.88,71.0
2020-02-27,Delhi,26.61,29.51,33.99,40.0
2020-02-28,Delhi,5.0,64.52,36.76,8.0
2020-02-29,Delhi,23.41,21.58,32.32,35.0
2020-03-01,Delhi,16.77,47.55,32.4,25.0
2020-03-02,Delhi,13.95,28.21,36.94,21.0
2020-03-03,Delhi,17.2,40.28,31.32,26.0
2020-03-04,Delhi,16.45,35.19,36.36,25.0
2020-03-05,Delhi,14.88,33.76,30.69,22.0
2020-03-06,Delhi,56.29,27.11,35.44,84.0
2020-03-07,Delhi,20.52,13.1,32.28,31.0
2020-03-08,Delhi,19.99,40.84,48.54,30.0
2020-03-09,Delhi,5.0,36.31,37.27,8.0
2020-03-10,Delhi,30.45,21.91,39.75,46.0
2020-03-11,Delhi,19.8,35.35,35.07,30.0
2020-03-12,Delhi,27.87,38.46,34.16,42.0
2020-03-13,Delhi,5.0,48.17,31.12,8.0
2020-03-14,Delhi,6.44,26.19,23.63,10.0
2020-03-15,Delhi,21.1,10.0,43.8,32.0
2020-03-16,Delhi,23.91,14.55,34.57,36.0
2020-03-17,Delhi,7.96,20.98,29.46,12.0
2020-03-18,Delhi,14.22,20.25,34.51,21.0
